PDB_ID,Chain,CATH,N,Fmax_[e/A],Dmax_[A],Lmax_[A],lambda
1xcv,A,1.10.10.10,139,1,178.58,167.25,0.3
1b1b,A,1.10.10.10,140,0.98,95.1,80.75,0.13
1s7a,A,1.10.10.10,103,1.25,116.5,82.5,0.19
3hsf,A,1.10.10.10,92,0.67,88.67,75.5,0.21
2hyg,D,1.10.10.10,133,0.94,161.91,134,0.26
1kq8,A,1.10.10.10,75,1.27,46.05,43.25,0.1
1fsh,A,1.10.10.10,94,0.94,79.13,68.25,0.16
1smt,A,1.10.10.10,98,0.95,168.54,151,0.41
1r1t,A,1.10.10.10,98,0.95,166.79,147.75,0.4
1wwx,A,1.10.10.10,107,1.27,182.12,169,0.4
1iuy,A,1.10.10.10,92,1.14,124.75,67.75,0.19
2efp,A,1.10.10.10,150,1.26,327.3,331,0.56
1i27,A,1.10.10.10,73,1.14,61.8,56.5,0.15
1j0r,A,1.10.10.10,114,1.14,201.42,192.5,0.44
1dpu,A,1.10.10.10,69,0.96,54.06,55.5,0.17
1w4m,A,1.10.10.10,95,0.98,32.8,29.25,0.04
1yqa,A,1.10.10.10,87,1.16,80.79,69.25,0.17
1r1u,A,1.10.10.10,94,1.11,157.38,144.25,0.39
1d8j,A,1.10.10.10,81,1.11,80.88,64.75,0.17
1xsx,A,1.10.10.10,95,1,176.82,161.5,0.45
1ghc,A,1.10.10.10,75,0.91,55.89,51,0.15
2tdx,A,1.10.10.10,139,1,64.36,48.75,0.07
1i1g,A,1.10.10.10,140,1.11,297.91,290.75,0.54
1ku3,A,1.10.10.10,61,0.72,166.12,161.5,0.71
1omi,A,1.10.10.10,224,1.28,563.86,558,0.66
1t6s,A,1.10.10.10,162,1.24,386.83,353.5,0.6
1uhm,A,1.10.10.10,78,1.12,73.84,61.75,0.17
1hkq,A,1.10.10.10,125,1.27,301.06,290.25,0.62
2d2w,A,1.10.10.10,101,1.27,123.94,117,0.28
2dbb,A,1.10.10.10,146,1.12,314.5,316,0.56
1i5z,A,1.10.10.10,201,1.33,416.8,402.75,0.53
2e7x,A,1.10.10.10,150,1.14,326.2,327.25,0.56
1odd,A,1.10.10.10,100,1.45,138.14,147.5,0.34
1i6x,A,1.10.10.10,201,1.4,481.65,471.25,0.62
2cso,A,1.10.10.10,127,1.34,125.33,80.75,0.15
1sfe,A,1.10.10.10,165,1.71,57.19,39,0.02
1gxq,A,1.10.10.10,105,1.31,57.68,54,0.09
1tnt,A,1.10.10.10,76,0.81,86.8,85.5,0.27
2ev6,A,1.10.10.10,136,0.81,280.27,252.5,0.51
1fc3,A,1.10.10.10,119,1.21,134.4,143.75,0.28
1h9g,A,1.10.10.10,223,1.09,326.38,313,0.36
1uss,A,1.10.10.10,88,1.04,82.75,68,0.17
2hfh,A,1.10.10.10,93,1.04,99.75,83.75,0.22
1sd5,A,1.10.10.10,188,1.71,424.09,416.5,0.58
1r23,A,1.10.10.10,104,1.04,196.78,182.25,0.46
1qgp,A,1.10.10.10,76,1.09,82.01,56.25,0.16
2dll,A,1.10.10.10,121,1.19,116.5,101.25,0.2
2oa4,A,1.10.10.10,101,0.82,305.7,290.5,0.79
1ri7,A,1.10.10.10,146,1.32,328.29,337.25,0.59
2jrt,A,1.10.10.10,95,0.83,176.06,157.25,0.45
1d8k,A,1.10.10.10,81,1.06,81.59,59.25,0.16
2efn,A,1.10.10.10,150,1.08,440.22,436.75,0.77
1fse,A,1.10.10.10,67,0.83,192.7,183.75,0.75
1jxs,A,1.10.10.10,98,1.06,111.23,99,0.24
2jpc,A,1.10.10.10,61,0.84,57.47,42.75,0.16
2e7w,A,1.10.10.10,150,1.06,441.59,438.25,0.77
1bm9,A,1.10.10.10,120,1.21,219.2,210.25,0.45
1g6n,A,1.10.10.10,200,1.31,373.39,358,0.47
1p4x,A,1.10.10.10,250,1.71,63.55,56.75,0.03
1hw5,A,1.10.10.10,208,1.3,513.45,502,0.64
1ufm,A,1.10.10.10,84,1.06,109.92,81.5,0.24
1ub9,A,1.10.10.10,100,1.21,159.92,158.75,0.4
1yio,A,1.10.10.10,198,1.72,596.27,597,0.79
1ku2,A,1.10.10.10,240,1.51,676.81,674.5,0.74
2cwe,A,1.10.10.10,191,1.51,395.36,373.25,0.52
1bja,A,1.10.10.10,95,0.95,167.04,164,0.43
1jhh,A,1.10.10.10,197,1.3,577.94,568.5,0.77
1ldd,A,1.10.10.10,74,1.04,46.15,38.25,0.08
1uhw,A,1.10.10.10,109,1.09,65.49,55.5,0.1
1tns,A,1.10.10.10,76,0.8,79.28,73.75,0.23
1ea3,A,1.10.10.180,157,1.43,53.73,51.5,0.05
1aa7,A,1.10.10.180,158,1.39,52.26,46.5,0.04
1ha8,A,1.10.10.190,51,0.3,20.37,4.75,0
1erd,A,1.10.10.190,40,0,30.27,0,0
1wje,A,1.10.10.200,46,0.69,84.11,66.25,0.4
1wjf,A,1.10.10.200,55,0.68,147.03,109.5,0.64
1wjd,A,1.10.10.200,55,0.72,143.99,106.25,0.61
1wjc,A,1.10.10.200,47,0.73,119.9,102.5,0.62
1mw7,A,1.10.10.200,220,2.1,255.21,263.25,0.29
1wja,A,1.10.10.200,47,0.7,129.14,110.75,0.69
1e0e,A,1.10.10.200,46,0.72,93.88,72,0.46
1wjb,A,1.10.10.200,55,0.69,144.75,107.75,0.62
1fow,A,1.10.10.250,76,0.94,63.35,42.5,0.12
1aci,A,1.10.10.250,76,1.03,127.91,106.75,0.38
2fow,A,1.10.10.250,76,1.29,54.02,42.75,0.09
1fox,A,1.10.10.250,76,0.96,56.54,29,0.06
1foy,A,1.10.10.250,76,1.33,59.61,53.25,0.12
1ji8,A,1.10.10.370,111,0.68,56.77,42,0.08
2a5w,A,1.10.10.370,114,1.7,202.2,202,0.44
1yx3,A,1.10.10.370,112,0.97,71.45,56.25,0.11
1whu,A,1.10.10.400,104,1,154.68,119.5,0.31
1ng6,A,1.10.10.410,148,1.31,364.69,342.5,0.62
1uzc,A,1.10.10.440,69,1.16,98.31,74.5,0.26
1dp3,A,1.10.10.450,55,0.6,103.99,93.25,0.45
2dfh,A,1.10.10.460,221,2.36,299.8,263.5,0.3
1i39,A,1.10.10.460,200,2.07,237.58,218.5,0.26
1io2,A,1.10.10.460,213,2.29,271.2,238.25,0.28
2dfe,A,1.10.10.460,209,2.24,256.73,237.25,0.28
1x1p,A,1.10.10.460,212,2.21,262.72,251.25,0.28
1i3a,A,1.10.10.460,200,2.48,244.97,233.5,0.27
2dff,A,1.10.10.460,210,2.21,256.72,231,0.27
1pve,A,1.10.10.540,72,0.83,212.55,200.75,0.77
1t6s,A,1.10.10.590,162,1.24,386.83,353.5,0.6
1jtx,A,1.10.10.60,186,1.32,156.94,126.25,0.16
1ba5,A,1.10.10.60,53,0.7,136.9,125,0.66
1mbk,A,1.10.10.60,52,0.68,128.29,119.5,0.62
1mbe,A,1.10.10.60,52,0.79,146.91,126.75,0.71
1rpw,A,1.10.10.60,186,1.39,247.59,218.75,0.3
2ezl,A,1.10.10.60,99,0.83,285.48,266,0.75
1jt6,A,1.10.10.60,186,1.36,167.13,138.25,0.18
1bw5,A,1.10.10.60,66,0.83,188.53,148.25,0.7
1wh5,A,1.10.10.60,80,0.8,145.37,107.5,0.38
1qvu,A,1.10.10.60,186,1.4,83.9,55.5,0.05
1qvt,A,1.10.10.60,186,1.33,252.68,222.5,0.31
1rkw,A,1.10.10.60,186,1.4,167.07,138.25,0.18
1jty,A,1.10.10.60,186,1.52,422.63,394.25,0.57
2dmq,A,1.10.10.60,80,0.94,148.96,124.5,0.43
1fex,A,1.10.10.60,59,0.79,172.28,160.75,0.76
1san,A,1.10.10.60,62,1.08,97.41,81,0.33
1jum,A,1.10.10.60,186,1.4,258.12,227.5,0.32
1ity,A,1.10.10.60,67,0.86,107.66,77.25,0.31
1jup,A,1.10.10.60,186,1.42,233.49,204,0.28
1xg1,A,1.10.10.60,67,0.78,96.69,84.5,0.32
1a5j,A,1.10.10.60,110,0.84,340.48,283.25,0.79
1du6,A,1.10.10.60,64,0.8,87.03,70.25,0.28
1p7j,A,1.10.10.60,53,1.02,64.66,59,0.25
1mbh,A,1.10.10.60,52,0.81,141.09,120.5,0.68
1pb6,A,1.10.10.60,198,1.54,93.41,60,0.05
1mbj,A,1.10.10.60,52,0.85,143.88,126,0.69
1ef4,A,1.10.10.60,55,0.8,50.23,50,0.2
2ezk,A,1.10.10.60,93,0.86,274.51,260.25,0.77
1s7e,A,1.10.10.60,147,1,322.64,290.5,0.54
1bjy,A,1.10.10.60,207,1.42,111.59,71.5,0.07
2hyj,A,1.10.10.60,193,1.51,189.12,161,0.2
1idz,A,1.10.10.60,54,0.72,149.14,121,0.69
1mbg,A,1.10.10.60,52,0.84,153.19,138.5,0.75
1t33,A,1.10.10.60,220,1.62,517.98,494,0.6
1mbf,A,1.10.10.60,52,0.71,100.27,83.5,0.44
1ocp,A,1.10.10.60,67,0.76,194.25,160.5,0.72
2gby,A,1.10.10.60,186,1.5,333.9,305,0.43
1vf9,A,1.10.10.60,64,0.76,186.56,155,0.73
1idy,A,1.10.10.60,54,0.71,150.52,127.5,0.7
1enh,A,1.10.10.60,54,0.92,74.44,63.25,0.29
2g0e,A,1.10.10.60,186,1.53,256.21,226.75,0.32
2ezh,A,1.10.10.60,65,0.71,55.32,30.75,0.11
1p7i,A,1.10.10.60,53,0.92,69.04,64.25,0.28
2ezi,A,1.10.10.60,75,0.8,213.09,176.75,0.71
1irz,A,1.10.10.60,64,0.78,191.88,160,0.76
1guu,A,1.10.10.60,50,0.72,127.34,117.5,0.65
1qry,A,1.10.10.60,80,0.77,193.18,145,0.56
2bzt,A,1.10.10.600,66,1.38,47.84,39.75,0.09
1uj8,A,1.10.10.600,73,1.48,79.48,86.5,0.25
2jrm,A,1.10.10.620,60,1.1,97.22,65,0.28
1h59,A,1.10.100.10,54,2.08,56.37,60.5,0.15
1gzr,B,1.10.100.10,61,2.08,61.93,56.75,0.14
1imx,A,1.10.100.10,56,1.7,49.1,45,0.11
1gzz,B,1.10.100.10,60,2.09,66.03,57.5,0.14
3gf1,A,1.10.100.10,70,2.42,80.84,106.25,0.27
1gzy,B,1.10.100.10,57,0,31.02,0,0
1h02,B,1.10.100.10,64,1.98,63.67,54,0.11
1sju,A,1.10.100.10,50,0.19,19.8,2.5,0.01
1pmx,A,1.10.100.10,70,0.17,43.05,2.5,0
2gf1,A,1.10.100.10,70,1.91,81.24,105.75,0.29
1bqt,A,1.10.100.10,70,0.39,54.97,28,0.11
1efe,A,1.10.100.10,60,0.26,31.33,4.75,0.02
1zei,A,1.10.100.10,53,0.32,32.27,4.5,0.01
1igl,A,1.10.100.10,67,0.05,27.69,0.75,0.01
2jzq,A,1.10.100.10,57,1.28,39.59,37.5,0.1
1b9g,A,1.10.100.10,57,0.99,53.88,55.25,0.2
1pbv,A,1.10.100.11,195,1.6,386.71,366.75,0.5
1bc9,A,1.10.100.11,200,0.99,233.47,202.75,0.27
1ku1,A,1.10.100.11,211,1.31,268.02,249.5,0.3
1c05,A,1.10.105.10,159,0.96,286.32,277,0.46
1c06,A,1.10.105.10,159,1.11,290.24,289.25,0.47
2alg,A,1.10.110.10,92,1,134.71,134.75,0.36
1t12,A,1.10.110.10,91,0.22,20.79,3,0
1fk5,A,1.10.110.10,93,0.65,20.87,14,0.02
1hyp,A,1.10.110.10,75,0,23.43,0,0
1fk6,A,1.10.110.10,93,0.24,18.18,5,0.01
1l6h,A,1.10.110.10,69,0.27,16.45,3.5,0
1be2,A,1.10.110.10,91,0.27,19.9,4.25,0
1fk7,A,1.10.110.10,93,0.27,17.48,4.75,0.01
1bwo,A,1.10.110.10,90,0.3,15.49,3.75,0
1fk2,A,1.10.110.10,93,0.68,22.64,14,0.02
1fk1,A,1.10.110.10,93,0.3,21.29,7,0.01
1jtb,A,1.10.110.10,91,0,21.8,0,0
1mid,A,1.10.110.10,91,1.19,148.03,149.5,0.41
1fk3,A,1.10.110.10,93,0.61,21.89,13.75,0.02
1fk0,A,1.10.110.10,93,0.61,25.02,14.25,0.03
1mzl,A,1.10.110.10,93,0.59,20.96,14,0.02
2b5s,A,1.10.110.10,92,0.54,25.87,17.25,0.03
1fk4,A,1.10.110.10,93,0.58,19.69,15,0.01
1uvc,A,1.10.110.10,91,0.58,20.63,12.75,0.02
1tba,A,1.10.110.10,67,0.64,184.04,174.5,0.72
1lip,A,1.10.110.10,91,0.22,21.16,4.5,0.01
1afh,A,1.10.110.10,93,1.11,34.61,35.5,0.05
1mzm,A,1.10.110.10,93,0.64,20.78,14.25,0.02
1m1p,A,1.10.113.10,87,0.64,58.92,39.75,0.11
1f3h,A,1.10.117.10,136,1.02,328.8,277.75,0.59
1tw6,A,1.10.117.10,90,0.91,104.6,96.25,0.25
1sdz,A,1.10.117.10,97,1.21,51.07,38.5,0.06
2opz,A,1.10.117.10,109,0.84,182.79,152,0.38
2i3h,A,1.10.117.10,90,0.92,105.62,96,0.26
1q4q,A,1.10.117.10,94,0.92,157.85,140.5,0.4
1tfq,A,1.10.117.10,117,0.83,292.83,245.5,0.61
1m4m,A,1.10.117.10,112,1.23,240.26,228.5,0.54
1f9x,A,1.10.117.10,117,0.89,168.45,142,0.32
2raw,A,1.10.117.10,137,0.98,341.42,294,0.61
2poi,A,1.10.117.10,78,0.88,124.62,120.5,0.4
2qra,A,1.10.117.10,78,0.83,123.62,117,0.4
1jd6,A,1.10.117.10,102,0.86,159.38,141.5,0.36
1xb0,A,1.10.117.10,92,0.95,116.45,105,0.29
1oy7,A,1.10.117.10,99,1.02,216.53,203.25,0.55
1nw9,A,1.10.117.10,91,1.04,82.25,67.5,0.17
1xox,A,1.10.117.10,117,1.02,241.72,216.75,0.51
1c9q,A,1.10.117.10,117,0.78,362.94,329,0.8
1xb1,A,1.10.117.10,90,0.31,27.5,4.25,0
1jd4,A,1.10.117.10,96,0.97,121.75,105,0.27
2uvl,A,1.10.117.10,94,0.95,121.82,105.75,0.28
1oxn,A,1.10.117.10,99,1.06,101.88,88.75,0.21
1tft,A,1.10.117.10,117,0.78,268.75,222.5,0.55
1se0,A,1.10.117.10,97,1.19,48.65,34,0.04
1oxq,A,1.10.117.10,99,1.06,146.49,131.25,0.34
2i3i,A,1.10.117.10,90,0.98,119.82,111.25,0.3
2rax,A,1.10.117.10,115,1.03,256.22,238.25,0.56
1qbh,A,1.10.117.10,101,1.04,190.88,171.75,0.45
1jd5,A,1.10.117.10,105,0.95,163.54,144.25,0.36
1e31,A,1.10.117.10,136,1.04,230.27,183,0.37
1g3f,A,1.10.117.10,117,0.86,235.01,190,0.46
2opy,A,1.10.117.10,106,1.09,210.01,193,0.49
1f6v,A,1.10.118.10,91,1.05,121.16,93.75,0.26
1t8k,A,1.10.120.10,77,0.86,62.15,59.5,0.17
2cnr,A,1.10.120.10,82,0.91,47.08,54,0.14
1b1u,A,1.10.120.10,117,1.41,37.37,34,0.03
1x3o,A,1.10.120.10,80,0.83,81.92,85.5,0.25
1af8,A,1.10.120.10,86,0.55,75.35,66.25,0.2
2fq0,A,1.10.120.10,79,0.8,224.69,223.75,0.75
1bea,A,1.10.120.10,116,0,22.59,0,0
1bfa,A,1.10.120.10,116,0,22.64,0,0
1l0h,A,1.10.120.10,76,0.89,63.11,59.25,0.18
2fac,A,1.10.120.10,77,0.88,75.72,72.75,0.22
1or5,A,1.10.120.10,82,0.83,177.97,169.25,0.55
1klp,A,1.10.120.10,115,0.76,265.67,230,0.57
1nq4,A,1.10.120.10,95,0.85,283.13,258.25,0.77
2jq4,A,1.10.120.10,83,0.81,240.74,228.5,0.76
2fad,A,1.10.120.10,77,0.84,78.17,71.5,0.22
1dv5,A,1.10.120.10,80,0.85,91.84,95,0.29
1hqb,A,1.10.120.10,80,0.83,80.36,78.25,0.24
2fae,A,1.10.120.10,77,0.98,88.12,82.75,0.26
1l0i,A,1.10.120.10,77,0.92,61.64,57.75,0.17
2ava,A,1.10.120.10,82,0.92,38.39,33,0.07
1dny,A,1.10.120.10,76,0.88,57.71,48.75,0.14
1sm7,A,1.10.120.10,109,0.21,21.31,4.5,0.01
2af8,A,1.10.120.10,86,0.69,252.7,247,0.77
1hy8,A,1.10.120.10,76,0.75,230.56,232.75,0.8
1ayi,A,1.10.120.20,86,1.04,77.32,70.25,0.19
2jaz,A,1.10.120.20,86,1.02,112.11,92.75,0.31
1imq,A,1.10.120.20,86,1.01,92.91,80.5,0.23
2jb0,A,1.10.120.20,85,0.92,110.32,64.25,0.31
1mz8,A,1.10.120.20,87,1.12,72.25,69.5,0.17
1imp,A,1.10.120.20,86,0.91,73.38,64,0.17
2no8,A,1.10.120.20,85,0.94,36.4,31.75,0.06
2jbg,A,1.10.120.20,87,1.15,161.72,87.25,0.46
7cei,A,1.10.120.20,87,0.98,73.45,69,0.18
1unk,A,1.10.120.20,87,1,38.94,33,0.06
1d1d,A,1.10.120.30,220,1.29,353.14,324.25,0.39
1baj,A,1.10.120.30,71,1.48,41.46,36.75,0.06
1a8o,A,1.10.120.30,66,0.99,33.83,25.5,0.05
1eoq,A,1.10.120.30,77,0.65,72.41,44.25,0.14
1a43,A,1.10.120.30,72,1.48,42.6,37.75,0.06
1aum,A,1.10.120.30,70,1.44,38.12,37,0.06
2eia,A,1.10.120.30,206,1.44,274.84,241.5,0.3
2buo,A,1.10.120.30,84,0.96,146.6,123.25,0.39
1eia,A,1.10.120.30,207,1.34,522.97,494.5,0.64
1baz,A,1.10.122.10,49,0.81,131.78,121.25,0.68
1myl,A,1.10.122.10,45,0.76,119.75,108.75,0.68
1myk,A,1.10.122.10,47,0.72,125.49,113.25,0.68
1b28,A,1.10.122.10,53,0.69,137.34,112.75,0.63
1qtg,A,1.10.122.10,53,0.84,156.06,136.25,0.75
1irq,A,1.10.122.10,48,0.78,123.34,119.5,0.66
2cpg,A,1.10.122.10,43,0.74,121.66,105.25,0.72
1arr,A,1.10.122.10,53,0.84,143.28,121,0.67
1nla,A,1.10.122.10,53,0.66,132.41,99,0.57
1arq,A,1.10.122.10,53,0.82,148.03,131.25,0.71
1bmt,A,1.10.124.10,246,2.01,713.49,687.25,0.75
1v2z,A,1.10.124.30,106,1.15,202.72,212.75,0.5
2j6y,A,1.10.124.30,85,0.94,119.58,109.75,0.33
1w53,A,1.10.124.30,84,1.01,129.96,124.75,0.37
2j6z,A,1.10.124.30,86,1.17,138.06,128.75,0.38
1wrp,R,1.10.127.10,102,0.91,300.9,280.5,0.76
1wrt,R,1.10.127.10,104,0.84,326.56,278.25,0.8
3wrp,A,1.10.127.10,101,0.83,274.76,248.5,0.69
1p6z,N,1.10.127.10,102,0.84,305.35,268.75,0.77
2oz9,R,1.10.127.10,104,0.94,320.29,281,0.79
1zt9,A,1.10.127.10,101,0.87,305.81,275,0.78
1wrs,R,1.10.127.10,104,0.82,319.67,289,0.79
1jhg,A,1.10.127.10,101,0.92,273.82,233.25,0.68
1mi7,R,1.10.127.10,103,0.91,287.02,215.75,0.67
1is1,A,1.10.132.20,185,1.64,74.11,47.25,0.04
1eh1,A,1.10.132.20,185,1.61,92.47,68.5,0.07
1ise,A,1.10.132.20,184,1.48,95.99,73.5,0.08
1ek8,A,1.10.132.20,185,1.52,97.37,69.25,0.07
1ge9,A,1.10.132.20,184,1.36,108.09,73.25,0.08
1wqg,A,1.10.132.20,184,1.6,90.28,66.25,0.07
1dd5,A,1.10.132.20,184,1.52,93.94,69,0.08
1wqh,A,1.10.132.20,183,1.37,64.85,41.25,0.03
1wqf,A,1.10.132.20,183,1.46,299.03,274.75,0.39
1dav,A,1.10.133.10,71,0.64,68.87,44.75,0.15
1daq,A,1.10.133.10,71,0.6,91.84,66.5,0.25
1cmb,A,1.10.140.10,104,0.88,208.07,197,0.5
1mjk,A,1.10.140.10,104,0.83,213.44,204.75,0.52
1mjl,A,1.10.140.10,104,0.86,45.16,38.75,0.07
1cmc,A,1.10.140.10,104,0.96,46.8,38.75,0.07
1i5j,A,1.10.144.10,67,0.72,192.95,175.5,0.74
1o8t,A,1.10.144.10,79,0.76,213.51,186.5,0.68
1iv5,A,1.10.145.10,90,0.82,85.83,70.75,0.2
1g8q,A,1.10.145.10,90,0.89,102.25,89.75,0.25
1yww,A,1.10.147.10,65,0.71,71.81,68.5,0.25
1koy,A,1.10.149.10,62,0.73,59.31,37.75,0.13
1iyr,A,1.10.149.10,83,0.76,246.47,203.75,0.74
1nzp,A,1.10.150.110,86,0.78,256.32,244.75,0.78
1bno,A,1.10.150.110,87,0.77,266.15,237.25,0.79
1bnp,A,1.10.150.110,87,0.71,244.93,214.5,0.72
1fiq,A,1.10.150.120,164,1.71,322.2,293.5,0.47
3b9j,A,1.10.150.120,162,1.89,320.39,299.25,0.48
1zxi,A,1.10.150.120,161,1.62,349.26,320.25,0.53
1n5w,A,1.10.150.120,161,1.67,349.74,322.75,0.54
1n63,A,1.10.150.120,160,1.58,345.49,318.75,0.53
1n62,A,1.10.150.120,161,1.62,345.5,318.75,0.53
1t3q,A,1.10.150.120,162,1.64,350.52,333,0.54
1n61,A,1.10.150.120,161,1.51,350.69,319.25,0.54
1n60,A,1.10.150.120,161,1.56,346.35,318.75,0.53
1ffu,A,1.10.150.120,155,1.68,329.01,303.5,0.52
1ffv,A,1.10.150.120,155,1.54,326.57,299.5,0.52
1mn8,A,1.10.150.180,95,1.21,64.55,68,0.15
1kl9,A,1.10.150.190,165,1.69,282.12,289.5,0.43
1q46,A,1.10.150.190,174,1.85,402.85,408.25,0.6
1kft,A,1.10.150.20,56,1.08,70.75,74,0.29
1wcn,A,1.10.150.20,70,1.08,50.25,37,0.09
1ixr,A,1.10.150.20,135,1.06,109.85,97.75,0.17
1b22,A,1.10.150.20,70,0.71,139.94,129.75,0.49
1coo,A,1.10.150.20,81,0.85,191.52,182.5,0.6
1u9l,A,1.10.150.20,68,0.97,58.82,48.25,0.14
1wcl,A,1.10.150.20,76,1.1,91.86,87.5,0.28
1doq,A,1.10.150.20,69,1.02,54.33,45.75,0.13
1f5s,A,1.10.150.210,210,2.13,450.62,469,0.56
1x6j,A,1.10.150.250,88,1.07,76.94,50,0.12
2jr5,A,1.10.150.250,94,0.88,280.51,251.75,0.77
2fj6,A,1.10.150.260,82,0.86,230.32,216.25,0.73
2ezz,A,1.10.150.40,89,0.88,184.55,167.75,0.51
2ezy,A,1.10.150.40,89,0.84,175.96,160.5,0.49
2odg,A,1.10.150.40,89,0.96,100.94,89.75,0.25
1qck,A,1.10.150.40,89,0.94,103.7,93,0.26
2ezx,A,1.10.150.40,89,0.85,183.23,167.75,0.51
1sxd,A,1.10.150.50,91,0.91,73.81,68.75,0.17
1f0m,A,1.10.150.50,71,0.89,86.44,84.5,0.29
1x9x,A,1.10.150.50,62,0.73,70.02,70,0.26
1dxs,A,1.10.150.50,57,0.71,47.17,45.5,0.18
1lky,A,1.10.150.50,77,1,103.63,107.5,0.33
1ucv,A,1.10.150.50,81,0.9,108.4,96.5,0.3
1v38,A,1.10.150.50,78,0.74,157.93,144,0.5
1pk3,A,1.10.150.50,76,0.81,160.41,150,0.52
1sgg,A,1.10.150.50,67,0.81,51.43,49.75,0.16
1ow5,A,1.10.150.50,60,0.83,53.88,48,0.18
1rg6,A,1.10.150.50,67,0.8,201.87,189.75,0.79
1sv4,A,1.10.150.50,78,0.86,142.83,135.75,0.45
1uqv,A,1.10.150.50,85,0.78,252.28,245.75,0.78
1z1v,A,1.10.150.50,70,1.01,61.62,64.75,0.2
1oxj,A,1.10.150.50,170,1.29,427.75,407.5,0.64
1b0x,A,1.10.150.50,72,0.67,80.16,69,0.24
1sv0,A,1.10.150.50,77,0.84,42.94,37.75,0.1
1cok,A,1.10.150.50,68,0.78,202.11,186.5,0.77
1ryu,A,1.10.150.60,120,0.81,174.15,137,0.31
1kn5,A,1.10.150.60,102,0.93,254.33,247.5,0.64
1kkx,A,1.10.150.60,102,0.89,239,238.75,0.61
1ig6,A,1.10.150.60,107,0.83,241.8,223.25,0.57
1c20,A,1.10.150.60,128,0.86,409.02,388.25,0.84
1d8b,A,1.10.150.80,81,0.86,248.99,249.75,0.81
2h3i,A,1.10.150.90,131,1.08,164.3,100.75,0.2
2hmx,A,1.10.150.90,133,1.46,193.72,128.5,0.26
1tam,A,1.10.150.90,120,1.02,122,104.75,0.21
2gol,A,1.10.150.90,102,1.35,74.05,68.25,0.13
1ed1,A,1.10.150.90,114,1.31,115.03,108.25,0.22
1uph,A,1.10.150.90,131,1.16,169.78,116.75,0.24
2h3q,A,1.10.150.90,131,1.27,176.95,160.25,0.31
1ecw,A,1.10.150.90,114,1.19,116.96,105,0.22
1hiw,A,1.10.150.90,115,1.28,122.88,103.25,0.21
1a6s,A,1.10.150.90,87,1.21,54.72,52,0.11
1ng6,A,1.10.151.10,148,1.31,364.69,342.5,0.62
1i4s,A,1.10.152.10,147,1.34,132.81,115.25,0.18
1zrm,A,1.10.164.10,220,1.84,227.94,246.75,0.27
1jud,A,1.10.164.10,220,1.8,132.25,150.5,0.15
1zrn,A,1.10.164.10,220,1.9,134.59,154,0.15
1z4n,A,1.10.164.10,219,1.92,212.38,232,0.25
1o08,A,1.10.164.10,221,2.15,218.91,243.25,0.25
2no4,A,1.10.164.10,225,1.94,153.94,169,0.17
1zol,A,1.10.164.10,221,2.06,219.42,238.75,0.25
1aq6,A,1.10.164.10,245,2.05,300.68,320.5,0.32
1q08,A,1.10.166.10,94,0.9,264.19,222.75,0.7
1jbg,A,1.10.166.10,106,1.1,220.07,171,0.47
1q09,A,1.10.166.10,90,0.89,250.01,209.75,0.69
